case_id,citation,court,decision_date,technology_domain,legal_issue,authority,digital_or_other_evidence,reasoning_steps,holding,remedy_or_implementation,rights_affected,evidence_gaps,lens_observation,source_url,verification_status
"KDL-001","Communications Commission of Kenya & 5 others v Royal Media Services Ltd & 5 others (Petition 14, 14A, 14B & 14C of 2014 (Consolidated)) [2014] KESC 53 (KLR)","Supreme Court","2014-09-29","broadcasting and digital migration","Whether the digital-migration and licensing framework and the must-carry rule infringed media freedom or broadcasters' intellectual-property rights.","Constitution arts 7, 10, 11, 34, 35 and 46; Kenya Information and Communications Act; Kenya Communications (Broadcasting) Regulations 2009 reg 14(2)(b); Copyright Act","Broadcast signal distribution licences, frequencies, set-top boxes and retransmission of free-to-air channels.","The Court located spectrum in the public-interest regulatory framework, examined the communications regulator's mandate, assessed the migration process and licensing context, and tested must-carry against fair dealing and constitutional rights.","The Court did not treat digital migration as inherently violating the broadcasters' rights and held that must-carry, in the circumstances, satisfied fair dealing and did not infringe copyright.","The Supreme Court issued final orders governing the consolidated appeals and the migration/licensing process; the coded point records its approval of must-carry in the public-interest setting.","media freedom; intellectual property; access to information; consumer interests","The row does not reproduce every licensing and procedural order in the multi-issue judgment.","Authority and rights were assessed together: technology transition did not remove the need to identify the regulator's legal mandate and the public-interest purpose of retransmission.","https://new.kenyalaw.org/akn/ke/judgment/kesc/2014/53/eng@2014-09-29","primary source checked 2026-08-26; final-court-in-sample"
"KDL-002","Coalition for Reforms and Development (CORD) & 2 others v Republic of Kenya & another (Civil Appeal 188 of 2015) [2024] KECA 1955 (KLR)","Court of Appeal","2024-12-20","communications surveillance","Whether section 36A of the Prevention of Terrorism Act, introduced by section 69 of the Security Laws (Amendment) Act, contained sufficient safeguards for interception of communication.","Constitution arts 24 and 31; Prevention of Terrorism Act ss 35, 36 and 36A; Security Laws (Amendment) Act s 69","Statutory power to intercept communications for national-security purposes.","The Court compared section 36A with the judicial and penal safeguards in neighbouring interception provisions, examined the breadth of the power, and applied the constitutional privacy-limitation standard.","Section 69 and consequently section 36A were unconstitutional because the interception power lacked sufficient safeguards against impermissible violation of Article 31.","The relevant High Court finding was set aside; invalidity was declared but suspended for 18 months to allow Parliament to enact safeguards; other High Court orders were upheld.","privacy; due process; national security","The legislative response and any later appellate proceedings require continuing verification.","A remedy can acknowledge a rights defect while managing institutional transition; the action stage therefore includes both invalidity and a timed implementation pathway.","https://new.kenyalaw.org/akn/ke/judgment/keca/2024/1955/eng@2024-12-20","primary source checked 2026-08-26; appellate-decision-recheck"
"KDL-003","Andare v Attorney General & another; Article 19 – East Africa (Interested Party) (Petition 149 of 2015) [2016] KEHC 7592 (KLR)","High Court","2016-04-19","online expression","Whether section 29 of the Kenya Information and Communications Act created a constitutionally precise and justified offence for messages sent through a licensed telecommunications system.","Constitution arts 24, 33 and 50(2)(n); Kenya Information and Communications Act s 29","A Facebook post and the statutory regulation of messages sent through licensed telecommunications systems.","The Court tested section 29 for vagueness and overbreadth, considered its chilling effect on expression and the availability of less restrictive civil remedies, and separately addressed the fair-trial argument.","Section 29 was unconstitutional for vague and overbroad terms that violated Article 33; the Article 50(2)(n) claim was not established.","Declaration of unconstitutionality; prosecution could not continue under section 29; each party bore its own costs.","freedom of expression; fair trial; reputation","The decision left the DPP free to assess whether the alleged facts disclosed an offence under another valid law.","The reasoning separates legitimate protection of reputation from whether a particular criminal rule is sufficiently precise and proportionate.","https://new.kenyalaw.org/akn/ke/judgment/kehc/2016/7592/eng@2016-04-19","primary source checked 2026-08-26; high-court-recheck"
"KDL-004","M N N v E N K [2017] KEHC 2175 (KLR)","High Court","2017-10-19","electronic evidence","Whether a mobile-phone audio recording and transcript could be used without a certificate satisfying section 106B(4) of the Evidence Act.","Evidence Act ss 106B(1) and 106B(4)","Mobile-phone audio recording, transcript and a certificate addressing translation rather than the recording's production history.","The Court treated the phone as an electronic device within section 106B, checked whether the certificate identified the record, device, production method and responsible person, and distinguished authentication of the recording from certification of translation.","The recording was inadmissible because the required production and authentication certificate was absent; the translation certificate did not cure that gap.","Objection upheld; recording could not be played or used as the basis for examining the witness.","fair hearing; evidential reliability; privacy context","The recording device, process, dates and persons responsible for recording and transcription were insufficiently identified.","Proof requires a provenance chain tailored to the actual digital record; a certificate about a downstream translation does not authenticate the source recording.","https://new.kenyalaw.org/akn/ke/judgment/kehc/2017/2175/eng@2017-10-19","primary source checked 2026-08-26; high-court-recheck"
"KDL-005","Communications Authority of Kenya v Okoiti & 8 others (Civil Appeal 166 & 167 of 2018 (Consolidated)) [2020] KECA 754 (KLR)","Court of Appeal","2020-04-24","device management and telecommunications","Whether a constitutional challenge to the proposed Device Management System was ripe and how the regulator should proceed while protecting privacy and participation.","Constitution arts 22, 31 and 34; Kenya Information and Communications Act; Statutory Instruments Act","Proposed Device Management System, equipment identifiers and planned connectivity with mobile-network operators.","The Court examined the regulator's mandate, the incomplete design and consultations, the evidential basis for feared surveillance, ripeness, public participation and the need to balance anti-counterfeit objectives with privacy.","The appeal succeeded because the High Court should not have nullified the project at an incomplete design stage; development could continue only within law and with stakeholder safeguards.","High Court orders were set aside; ongoing stakeholder and mobile-operator consultations were to continue; resulting guidelines or regulations were to undergo public participation.","privacy; consumer protection; public participation","The final DMS architecture and its actual data flows were not before the Court because design and consultation were incomplete.","Status and proof matter before rights analysis: anticipated system capabilities should not be assumed, but uncertainty also creates a duty to design safeguards and public participation.","https://new.kenyalaw.org/akn/ke/judgment/keca/2020/754/eng@2020-04-24","primary source checked 2026-08-26; appellate-decision-recheck"
"KDL-006","Nubian Rights Forum & 2 others v Attorney General & 6 others; Child Welfare Society & 8 others (Interested Parties) (Petition 56, 58 & 59 of 2019 (Consolidated)) [2020] KEHC 8772 (KLR)","High Court","2020-01-30","digital identity and biometrics","Whether the NIIMS legal and technical framework adequately protected privacy, including collection of DNA, GPS coordinates and children's biometric data.","Constitution art 31; Registration of Persons Act ss 5 and 9A; Data Protection Act 2019","Centralised digital-identity system, biometric and biographical data, DNA, GPS coordinates and proposed database linkages.","The Court assessed necessity, statutory authority, privacy intrusion, risks of biometric breach, child-data safeguards, the newly enacted Data Protection Act and the absence of NIIMS-specific operational regulation.","Collection of DNA and GPS coordinates for identification was intrusive, unnecessary and unconstitutional; NIIMS could proceed only after a compliant and comprehensive regulatory framework was enacted.","Relevant parts of section 5(1) of the Registration of Persons Act were declared unconstitutional to the stated extent; conditional implementation order; each party bore its own costs.","privacy; equality and non-discrimination; children's rights","Operational regulations, child-specific safeguards and citizen visibility into access to their data were inadequate or absent at the time considered.","Formal legal authority was not enough by itself: proof of necessity, purpose limitation and operational safeguards determined whether implementation could proceed.","https://new.kenyalaw.org/akn/ke/judgment/kehc/2020/8772/eng@2020-01-30","primary source checked 2026-08-26; related-later-decision KDL-008"
"KDL-007","Bloggers Association of Kenya (BAKE) v Attorney General & 6 others (Civil Appeal 197 of 2020) [2026] KECA 430 (KLR)","Court of Appeal","2026-03-06","cybercrime and online expression","Whether challenged provisions of the Computer Misuse and Cybercrimes Act, especially sections 22 and 23 on false publications, met constitutional standards of precision, culpability and proportionality.","Constitution arts 24, 31, 33 and 34; Computer Misuse and Cybercrimes Act 2018 ss 22 and 23","Online publication and sharing of allegedly false, misleading or fictitious information; statutory investigative powers.","The Court examined breadth, targeting and mental elements across the challenged offences, distinguished harmful conduct from innocent sharing or protected speech, and reviewed safeguards around investigative provisions.","The appeal partially succeeded: sections 22 and 23 were unconstitutional because their breadth risked capturing innocent persons; most other challenged provisions were upheld.","The High Court judgment was varied to the stated extent; each party bore its own costs in the public-interest appeal.","freedom of expression; freedom of the media; privacy; fair notice","This release does not establish the outcome of any later Supreme Court merits proceedings; status must be rechecked.","The authority and risk stages expose a drafting problem: a legitimate regulatory aim does not cure an offence whose reach is insufficiently bounded.","https://new.kenyalaw.org/akn/ke/judgment/keca/2026/430/eng@2026-03-06","primary source checked 2026-08-26; appellate-decision-recheck"
"KDL-008","Republic v Mucheru, Cabinet Secretary Ministry of Information Communication and Technology & 2 others; Katiba Institute & another (Ex parte); Immaculate Kasait, Data Commissioner (Interested Party) (Judicial Review Application E1138 of 2020) [2021] KEHC 122 (KLR)","High Court","2021-10-14","digital identity and data protection","Whether the decision to roll out Huduma Cards without a data protection impact assessment complied with section 31 of the Data Protection Act.","Constitution art 31; Data Protection Act 2019 ss 31, 56 and 57; Registration of Persons Act s 9A; Fair Administrative Action Act s 9","NIIMS personal data and the decision to process it and roll out Huduma Cards.","The Court considered the Data Protection Act's application to post-enactment processing, the requirement for a prior DPIA, exhaustion arguments and the relationship to the earlier NIIMS judgment.","Rolling out Huduma Cards without the required DPIA was ultra vires section 31 of the Data Protection Act.","Certiorari quashed the rollout decision; mandamus compelled a DPIA before processing data and rolling out the cards; prohibition was declined as moot or speculative.","privacy; lawful administrative action; data-subject protection","The record did not make the ongoing practical status of rollout clear at the time of judgment.","The action stage converted a general privacy safeguard into verifiable closure proof: a completed statutory impact assessment before high-risk processing.","https://new.kenyalaw.org/akn/ke/judgment/kehc/2021/122/eng@2021-10-14","primary source checked 2026-08-26; related-later-decision to KDL-006"
"KDL-009","Keter & another v Republic (Criminal Appeal 6 of 2020) [2022] KEHC 12345 (KLR)","High Court","2022-06-16","electronic evidence","Whether a later-produced section 106B certificate could support a video copied from a phone that had subsequently crashed, and whether marking the material for identification prejudged admissibility.","Constitution art 50; Evidence Act ss 78A, 106A and 106B","Video recorded on an iPhone, later copied to a compact disc, authentication certificate and unavailable original device.","The Court separated identification, foundation, authentication, admissibility and weight; read the earlier trial ruling as permitting cure of the missing certificate; and considered continuing disclosure and fair-trial prejudice.","A section 106B certificate could be supplied later to cure the omission, and marking the video and certificate for identification did not finally determine admissibility or weight.","Appeal dismissed; the trial process could continue with admissibility and weight still open to challenge at the appropriate stage.","fair trial; evidential reliability","The original phone had crashed; the ultimate admissibility and weight of the video had not yet been finally determined at the interlocutory stage.","Digital proof is staged rather than binary: identification is not admission, and authentication controls can sometimes cure an earlier procedural gap while preserving later challenge.","https://new.kenyalaw.org/akn/ke/judgment/kehc/2022/12345/eng@2022-06-16","primary source checked 2026-08-26; high-court-recheck"
"KDL-010","Katiba Institute v Communications Authority of Kenya & 2 others; Data Privacy and Governance Society of Kenya & 3 others (Interested Parties); Ideate Policy Africa Limited (Amicus Curiae) (Petition E647 of 2024) [2025] KEHC 10568 (KLR)","High Court","2025-07-18","mobile-device identifiers and data protection","Whether notices requiring disclosure of mobile-device IMEI numbers had lawful authority and safeguards and complied with the constitutional right to privacy.","Constitution arts 24 and 31; Data Protection Act 2019 including ss 2 and 31; Data Protection (General) Regulations","IMEI numbers associated with registered users and proposed disclosure or processing by communications and revenue authorities.","The Court determined when an IMEI becomes personal data, examined statutory authority, consent, processing safeguards and Article 24 justification, and assessed the notices against the Constitution and Data Protection Act.","An IMEI associated with a person or device is personal data; mandatory disclosure under the impugned notices unlawfully violated Article 31 privacy.","Declarations of unconstitutionality and illegality; certiorari quashed the notices; prohibition restrained their implementation.","privacy; data protection; lawful administrative action","The notices lacked an adequate lawful and operational framework for the proposed processing.","A technical identifier changes legal status when linkage makes a person identifiable; status and data-flow mapping therefore precede authority and proportionality analysis.","https://new.kenyalaw.org/akn/ke/judgment/kehc/2025/10568/eng@2025-07-18","primary source checked 2026-08-26; high-court-recheck"
